,src,rtime,dst,size,sid,mid
1016,1,176160,3,383316,3,24
1017,1,176162,3,384440,3,26
1018,1,176167,3,384333,3,33
1019,1,176169,3,383472,3,35
1020,1,176376,2,385766,3,1
1021,1,176382,2,381867,3,4
1022,1,176385,2,384166,3,7
1023,1,176389,2,382124,3,10
1024,1,176392,2,382985,3,16
1025,1,176395,2,383501,3,17
1026,1,176398,2,383271,3,18
1027,1,176401,2,384727,3,19
1028,1,176405,2,384200,3,24
1029,1,176409,2,382803,3,26
1030,1,176411,2,383020,3,33
1031,1,176415,2,385010,3,35
1032,1,176418,2,383690,3,1
1033,1,176422,2,382480,3,4
1034,1,176425,2,383478,3,7
1035,1,176428,2,383038,3,10
1036,1,176431,2,384900,3,16
1037,1,176435,2,383964,3,17
1038,1,176438,2,383432,3,18
1039,1,176441,2,386299,3,19
1040,1,176445,2,383338,3,24
1041,1,176448,2,383815,3,26
1042,1,176451,2,383565,3,33
1043,1,176454,2,384778,3,35
1044,1,176458,2,385571,3,1
1045,1,176461,2,383605,3,4
1046,1,176465,2,382738,3,7
1047,1,176467,2,385386,3,10
1048,1,176471,2,382440,3,16
1049,1,176474,2,384794,3,17
1050,1,176477,2,385296,3,18
1051,1,176480,2,385458,3,19
1052,1,176484,2,383451,3,24
1053,1,176487,2,383520,3,26
1054,1,176490,2,384078,3,33
1055,1,176494,2,384342,3,35
1056,1,177126,2,383213,3,1
1057,1,177129,2,384547,3,4
1058,1,177132,2,384859,3,7
1059,1,177136,2,382986,3,10
1060,1,177139,2,382914,3,16
1061,1,177142,2,382845,3,17
1062,1,177145,2,383812,3,18
1063,1,177149,2,384185,3,19
1064,1,177152,2,382959,3,24
1065,1,177162,2,384363,3,26
1066,1,177168,2,383143,3,33
1067,1,177175,2,382183,3,35
1068,1,189690,3,587888,4,0
1069,1,189698,2,588894,4,0
1070,1,189706,3,586737,4,5
1071,1,189709,2,585057,4,5
1072,1,189714,3,586906,4,6
1073,1,189722,2,585366,4,6
1074,1,189724,3,585775,4,7
1075,1,189732,3,584145,4,17
1076,1,189734,2,586195,4,7
1077,1,189745,2,587952,4,17
1078,1,189747,3,583678,4,18
1079,1,189757,2,584570,4,18
1080,1,189762,3,588415,4,19
1081,1,189767,2,586216,4,19
1082,1,189774,3,587222,4,24
1083,1,189778,2,582907,4,24
1084,1,189783,3,586944,4,26
1085,1,189788,2,588315,4,26
1086,1,189793,3,588334,4,33
1087,1,189798,2,587398,4,33
1088,1,189866,3,585202,4,35
1089,1,189873,3,588086,4,0
1090,1,189880,3,589662,4,5
1091,1,189890,3,585331,4,6
1092,1,189901,3,587575,4,7
1093,1,189906,3,584859,4,17
1094,1,190028,3,585571,4,18
1095,1,190041,3,584784,4,19
1096,1,190046,3,587462,4,24
1097,1,190051,3,584573,4,26
1098,1,190056,3,585651,4,33
1099,1,190061,3,586672,4,35
1100,1,190066,3,583297,4,0
1101,1,190071,3,585832,4,5
1102,1,190075,3,587239,4,6
1103,1,190080,3,586667,4,7
1104,1,190085,3,588090,4,17
1105,1,190094,3,585295,4,18
1106,1,190098,2,583964,4,35
1107,1,190101,3,585438,4,19
1108,1,190108,3,584768,4,24
1109,1,190112,2,585247,4,0
1110,1,190115,3,585343,4,26
1111,1,190128,2,582837,4,5
1112,1,190129,3,584620,4,33
1113,1,190136,3,587348,4,35
1114,1,190144,3,588960,4,0
1115,1,190146,2,586110,4,6
1116,1,190152,3,585211,4,5
1117,1,190159,2,585163,4,7
1118,1,190159,3,584438,4,6
1119,1,190268,3,587786,4,7
1120,1,190272,2,586984,4,17
1121,1,190277,2,588754,4,18
1122,1,190283,2,587414,4,19
1123,1,190289,2,586920,4,24
1124,1,190293,2,585673,4,26
1125,1,190299,2,587279,4,33
1126,1,190305,2,588473,4,35
1127,1,190311,2,587329,4,0
1128,1,190321,2,583513,4,5
1129,1,190325,2,586065,4,6
1130,1,190330,2,590584,4,7
1131,1,190335,2,585071,4,17
1132,1,190340,2,587692,4,18
1133,1,190346,2,588931,4,19
1134,1,190353,2,587445,4,24
1135,1,190357,2,585169,4,26
1136,1,190363,2,585079,4,33
1137,1,190368,2,583142,4,35
1138,1,190381,2,582951,4,0
1139,1,190392,2,586799,4,5
1140,1,190397,2,585804,4,6
1141,1,190403,2,584257,4,7
1142,1,190408,2,587634,4,17
1143,1,190413,2,587483,4,18
1144,1,190418,2,588847,4,19
1145,1,190423,2,585806,4,24
1146,1,190428,2,586350,4,26
1147,1,190433,2,586069,4,33
1148,1,190438,2,586217,4,35
1149,1,190490,3,582937,4,17
1150,1,190498,3,586279,4,18
1151,1,190503,3,587738,4,19
1152,1,190507,3,586143,4,24
1153,1,190512,3,586809,4,26
1154,1,190517,3,584987,4,33
1155,1,190522,3,587956,4,35
1156,1,198863,3,585792,4,0
1157,1,198868,3,587070,4,5
1158,1,198874,3,587744,4,6
1159,1,198878,3,581029,4,7
1160,1,198883,3,585898,4,17
1161,1,198888,3,586586,4,18
1162,1,198893,3,585132,4,19
1163,1,198897,3,584660,4,24
1164,1,198903,3,584843,4,26
1165,1,198908,3,584824,4,33
1166,1,198913,3,587819,4,35
1167,1,199036,3,586335,4,0
1168,1,199041,3,583329,4,5
1169,1,199054,3,586792,4,6
1170,1,199064,3,585529,4,7
1171,1,199073,3,585687,4,17
1172,1,199084,3,587441,4,18
1173,1,199098,3,588175,4,19
1174,1,199118,3,583310,4,24
1175,1,199129,3,584751,4,26
1176,1,199140,3,591084,4,33
1177,1,199149,3,587612,4,35
1178,1,200129,2,589888,4,0
1179,1,200134,2,587690,4,5
1180,1,200140,2,587230,4,6
1181,1,200146,2,586476,4,7
1182,1,200153,2,583796,4,17
1183,1,200163,2,584891,4,18
1184,1,200170,2,585351,4,19
1185,1,200179,2,583938,4,24
1186,1,200186,2,585300,4,26
1187,1,200192,2,586988,4,33
1188,1,200196,2,585174,4,35
1189,1,200308,2,586923,4,0
1190,1,200321,2,592028,4,5
1191,1,200336,2,586223,4,6
1192,1,200348,2,586908,4,7
1193,1,200783,2,583110,4,17
1194,1,200797,2,585660,4,18
1195,1,200803,2,585354,4,19
1196,1,200865,2,589507,4,24
1197,1,201062,2,585947,4,26
1198,1,201067,2,585545,4,33
1199,1,201074,2,588330,4,35
1200,1,201083,2,953044,2,2
1201,1,201093,2,949069,2,5
1202,1,201101,2,950175,2,8
1203,1,201105,3,955410,2,2
1204,1,201112,2,949290,2,11
1205,1,201122,2,958986,2,16
1206,1,201134,2,953171,2,17
